13745-Nigerian	GEO
13745-June	GEO
13746-time	GEO
13746-World	GEO
13746-Health	PERSON
13746-Organization	PERSON
13746-Nigeria	GEO
13746-Zamfara	ORGANIZATION
13746-state	PERSON
13746-residential	GEO
13746-United	GEO
13746-States	PERSON
13746-France	GEO
13747-Nigerian	GEO
13747-poisoning	GEO
13747-illegal	GEO
13748-WHO	GEO
13748-outbreak	GEO
13748-similar	GEO
13748-future	GEO
13749-Concentration	GEO
13749-lead	GEO
13749-body	GEO
13749-nervous	PERSON
13749-reproductive	GEO
13750-age	GEO
13751-Sri	GEO
13751-Lanka	PERSON
13751-Tamil	ORGANIZATION
13751-Tiger	PERSON
13751-international	GEO
13751-tsunami	GEO
13751-northern	GEO
13752-Washington	GEO
13752-Post	PERSON
13752-northern	GEO
13752-Lanka	PERSON
13752-Tigers	GEO
13752-credit	GEO
13752-order	ORGANIZATION
13752-town	GEO
13752-Mullaittivu	GEO
13752-tsunami	GEO
13753-report	GEO
13753-Monday	GEO
13753-afternoon	PERSON
13753-devastating	GEO
13753-Lanka	PERSON
13753-ground	GEO
13753-disinfectant	GEO
13754-utility	GEO
13755-newspaper	GEO
13755-correspondent	ORGANIZATION
13755-displaced	GEO
13755-college	GEO
13755-adequate	GEO
13756-Japan	GEO
13756-foreign	ORGANIZATION
13756-Afghanistan	GEO
13756-unannounced	GEO
13756-President	GEO
13756-Hamid	PERSON
13756-Karzai	PERSON
13756-Foreign	GEO
13756-Minister	PERSON
13756-Rangin	PERSON
13756-Dadfar	PERSON
13756-Spanta	PERSON
13757-Masahiko	GEO
13757-Komuri	PERSON
13757-Kabul	GEO
13757-Sunday	PERSON
13757-visit	GEO
13757-Pakistan	GEO
13758-security	GEO
13758-Afghan	GEO
13758-Mr.	GEO
13758-Karzai	PERSON
13758-Spanta	GEO
13759-French	GEO
13759-Komura	GEO
13759-Pakistan	GEO
13760-armed	GEO
13761-Japan	GEO
13761-visit	ORGANIZATION
13761-time	GEO
13761-safety	GEO
13762-President	GEO
13762-Karzai	PERSON
13762-target	GEO
13762-bomb	GEO
13762-April	GEO
13763-Pakistan	GEO
13763-Saturday	PERSON
13763-Komuri	PERSON
13763-President	GEO
13763-Pervez	PERSON
13763-Musharraf	PERSON
13763-Prime	GEO
13763-Minister	PERSON
13763-Yousuf	PERSON
13763-Raza	PERSON
13763-Gilani	PERSON
13763-Foreign	GEO
13763-Minister	PERSON
13763-Shah	PERSON
13763-Mehmood	PERSON
13763-Qureshi	PERSON
13764-terrorism	GEO
13764-cooperation	GEO
13764-infrastructure	GEO
13765-main	GEO
13765-Indian	GEO
13765-protest	GEO
13765-Israel	GEO
13765-air	ORGANIZATION
13765-southern	GEO
13766-one-day	GEO
13766-Kashmir	GEO
13766-summer	ORGANIZATION
13766-Srinagar	GEO
13766-Syed	GEO
13766-Ali	PERSON
13766-Geelani	PERSON
13767-hard-line	GEO
13767-separatist	GEO
13767-All	GEO
13767-Parties	PERSON
13767-Hurriyat	PERSON
13767-Conference	PERSON
13768-Angry	GEO
13768-several	GEO
13768-India	GEO
13768-Friday	PERSON
13768-Israel	GEO
13768-military	ORGANIZATION
13769-Muslim	GEO
13769-afternoon	PERSON
13769-Kashmir	GEO
13770-Kashmir	GEO
13770-India	GEO
13770-Pakistan	GEO
13770-full	GEO
13771-Haitian	GEO
13771-prison	GEO
13771-Haiti	GEO
13771-quake-damaged	ORGANIZATION
13772-Port-au-Prince	GEO
13773-other	GEO
13774-United	GEO
13774-Nations	PERSON
13774-Haitian	GEO
13774-prison	GEO
13774-time	GEO
13774-uprising	GEO
13775-U.N.	GEO
13775-United	GEO
13775-Nations	PERSON
13775-hostage	PERSON
13777-Miami	GEO
13777-Herald	PERSON
13777-newspaper	PERSON
13777-prison	GEO
13777-mid-afternoon	GEO
